"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000246324377818816,0.134523005351685,0.641,0.565,1,"4","EAPP"
0.000248532775703734,1.70695860681433,0.03,0.012,1,"4","AC011444.2"
0.000248692520478465,0.498624633359513,0.135,0.09,1,"4","AL050309.1"
0.000255428341271104,0.250135068902281,0.316,0.253,1,"4","BACH1"
0.000256548506580666,0.254327414765261,0.42,0.356,1,"4","MED19"
0.00025656327177015,0.301563908774955,0.42,0.362,1,"4","INO80C"
0.000258031233218557,0.715218556400045,0.097,0.059,1,"4","AC147067.1"
0.000258740906118343,1.00937945051424,0.104,0.066,1,"4","AC099518.5"
0.00026097873986215,2.16069945765176,0.017,0.005,1,"4","AC003005.2"
0.000261352494022685,0.122445454012086,0.913,0.834,1,"4","UBXN1"
0.000264058405589984,1.21295027568418,0.061,0.032,1,"4","NUDT12"
0.000264366825997402,1.53977251318771,0.043,0.02,1,"4","AC078816.1"
0.000265562277987986,1.21794096778601,0.061,0.032,1,"4","AKR1C1"
0.000265961251568429,1.83461666348509,0.017,0.005,1,"4","AL031667.3"
0.000267414327250784,0.134814288761298,0.943,0.877,1,"4","C11orf58"
0.00027192851909892,1.67300442370154,0.021,0.007,1,"4","RBP5"
0.000271996801729773,0.220877161217391,0.705,0.632,1,"4","MMADHC"
0.000272804281270271,0.490757345170753,0.132,0.089,1,"4","AL157394.3"
0.000274274145236112,1.65670874092863,0.043,0.02,1,"4","GPR141"
0.00027506882067487,0.698808987625693,0.12,0.078,1,"4","GPR146"
0.000275084182015942,0.87664205385117,0.106,0.067,1,"4","PDE6G"
0.000280032482314695,0.24517415651218,0.212,0.157,1,"4","SLC7A11"
0.000281928024229805,0.409893804670476,0.139,0.093,1,"4","CDKN1C"
0.000292823540043746,0.187479029966077,0.693,0.605,1,"4","CBR1"
0.000295023436329365,0.315366039747234,0.453,0.395,1,"4","NUBP1"
0.000298032051724365,0.792320766263251,0.123,0.082,1,"4","ZNF629"
0.000298098382402997,0.866526315757555,0.106,0.068,1,"4","KIF27"
0.000301133687615698,0.232969161193341,0.625,0.555,1,"4","SEC13"
0.000305043481054206,1.17514377714336,0.052,0.026,1,"4","ZNF69"
0.00031130762121285,0.365164823732861,0.432,0.373,1,"4","R3HCC1"
0.000313181931176676,0.378525633082491,0.335,0.277,1,"4","OAT"
0.000313849802196507,0.113658035456783,0.962,0.887,1,"4","PSMA1"
0.000316024197355157,0.963755056971421,0.108,0.069,1,"4","TMEM220"
0.000316079451924384,1.95192551263275,0.019,0.006,1,"4","SNORC"
0.000316681284231711,0.242828679022721,0.241,0.185,1,"4","MAP1A"
0.000327853199816997,0.909582639393891,0.123,0.083,1,"4","ACSF2"
0.000328596072996165,0.193713381978359,0.587,0.521,1,"4","CAMTA1"
0.000331422891254661,0.122769617729624,0.391,0.318,1,"4","ADGRE2"
0.00033308959746116,0.363357147458125,0.257,0.201,1,"4","FAIM"
0.000335570831926451,0.543018274663501,0.26,0.207,1,"4","ASCL2"
0.000337777239194923,0.194489372089117,0.451,0.383,1,"4","C8orf76"
0.000337786613948355,0.18923643914569,0.441,0.377,1,"4","LCOR"
0.000341939531709342,0.525588335668925,0.226,0.173,1,"4","TNFSF13"
0.00034216693335241,0.169279278286,0.696,0.612,1,"4","SEC31A"
0.000347688557399331,1.61119439830738,0.026,0.01,1,"4","AL589693.1"
0.000348780291663385,0.949872759661629,0.059,0.031,1,"4","MED14OS"
0.000349855652726704,1.53485194431451,0.035,0.015,1,"4","AC010727.1"
0.000351685861595601,0.122891297948213,0.564,0.486,1,"4","ZFC3H1"
0.000354816161050249,2.04229930713944,0.023,0.008,1,"4","FGFR3"
0.000357441221290974,1.41928068117378,0.03,0.012,1,"4","CGN"
0.000359055497075702,1.15007020153391,0.05,0.025,1,"4","PAX8"
0.00035945611007519,0.705997391747934,0.158,0.113,1,"4","ROBO3"
0.000359536130681077,2.94969585350722,0.017,0.005,1,"4","AL109615.3"
0.000367945647431322,0.111743248342083,0.941,0.856,1,"4","VAMP8"
0.000373532562836636,0.376737471101646,0.354,0.301,1,"4","CHSY1"
0.000374171665326033,0.417186785057065,0.179,0.128,1,"4","CCNG2"
0.00037661104342031,1.70118281937562,0.043,0.021,1,"4","MAP3K21"
0.000378071536846001,0.168626814927174,0.795,0.7,1,"4","SMIM26"
0.000378288808243297,0.210530722037697,0.543,0.475,1,"4","UTP11"
0.000379360559236527,1.38833319052803,0.071,0.041,1,"4","ANGEL1"
0.000379486624658404,0.317162385789926,0.389,0.329,1,"4","TMEM50B"
0.000379933691882424,0.224965063052768,0.427,0.366,1,"4","POLK"
0.000383571357557176,0.105307416924012,0.821,0.734,1,"4","TAF1D"
0.000387987966947182,0.41292512049487,0.328,0.279,1,"4","HACL1"
0.00039062087021065,0.310853135306007,0.464,0.405,1,"4","RELA"
0.000391202617894671,0.343024779253249,0.368,0.31,1,"4","ORC4"
0.000393768446992793,2.84411687440064,0.016,0.004,1,"4","NES"
0.000395517599381304,0.112140549737411,0.931,0.849,1,"4","EIF4A2"
0.000395593184105747,0.832459759615266,0.099,0.062,1,"4","SLC12A5"
0.000397673669717842,1.44104909625375,0.028,0.011,1,"4","BHLHE41"
0.000400980276105771,0.158528171949228,0.811,0.718,1,"4","MESD"
0.000401003581548168,1.39450872904846,0.033,0.014,1,"4","AC010623.1"
0.000405620235432069,0.241755610883908,0.368,0.309,1,"4","CHFR"
0.00040566167312872,2.63543810682915,0.014,0.004,1,"4","AP000763.4"
0.000407725232745631,0.909924550103574,0.113,0.074,1,"4","TNFSF9"
0.000407994906139445,0.786719269345336,0.073,0.042,1,"4","DACT3"
0.00040954339525929,1.41790328153361,0.028,0.011,1,"4","FMO5"
0.000411356287636436,0.882148745969838,0.08,0.047,1,"4","ZNF813"
0.000416814583526791,0.717752965698163,0.059,0.032,1,"4","LINC01465"
0.000425140605385505,1.56154318420287,0.03,0.012,1,"4","C4BPB"
0.00042942590462554,0.568842429282507,0.083,0.05,1,"4","KRBA2"
0.000435802990740249,1.70554770655598,0.026,0.01,1,"4","AC068870.2"
0.000442243880115548,0.211164653653386,0.531,0.465,1,"4","EIF4G3"
0.000456236289244208,2.07113960235771,0.028,0.011,1,"4","ACY3"
0.0004612722503029,0.856825312497154,0.135,0.095,1,"4","ALDH1B1"
0.000464404398224316,0.212308653502452,0.646,0.581,1,"4","ETFA"
0.000465990336622602,1.09558340923446,0.078,0.047,1,"4","TANC1"
0.000467417510604477,0.618472939309541,0.144,0.1,1,"4","NCKAP5L"
0.000470631430354171,0.210986374308717,0.641,0.575,1,"4","TM9SF3"
0.000471667727370802,0.91660762363584,0.073,0.042,1,"4","AC048341.2"
0.000475741204367068,0.400805318130462,0.359,0.306,1,"4","BRD3"
0.000480850120761964,1.25130423836934,0.049,0.024,1,"4","SRD5A3-AS1"
0.000492338702422692,1.62931961145813,0.028,0.011,1,"4","RPH3AL"
0.000493378220511304,0.425452553903695,0.245,0.193,1,"4","KLHL9"
0.000497988163611062,0.329565099173124,0.396,0.343,1,"4","ECPAS"
0.000512364443179108,0.216728855087332,0.474,0.395,1,"4","CPNE3"
0.000513446358934758,0.325627237139628,0.387,0.337,1,"4","PTOV1"
0.000514499751417077,0.217435772193081,0.552,0.482,1,"4","TFPT"
0.000527259966728506,1.04039517898678,0.05,0.026,1,"4","ZNF677"
0.000532823020572155,0.133191904363937,0.806,0.705,1,"4","SEPTIN6"
0.000537571343598115,0.471480182957343,0.283,0.232,1,"4","SNX15"
0.000543046604844867,1.33420655956413,0.054,0.029,1,"4","C1R"
0.000547970858827736,1.31005600580534,0.03,0.012,1,"4","AL160408.2"
0.000549615577226851,0.137368557412846,0.799,0.697,1,"4","EIF4B"
0.000555463981302261,0.690122431808239,0.175,0.13,1,"4","RIMKLB"
0.000559615655151493,0.257050874836901,0.432,0.375,1,"4","PPIL4"
0.000565778228447629,0.350077128690317,0.365,0.314,1,"4","MGA"
0.000570357226048764,1.0659714900204,0.043,0.021,1,"4","RAI14"
0.000571008247110011,0.153568850160915,0.604,0.531,1,"4","MCRIP1"
0.000577233394903342,1.12101644714818,0.062,0.035,1,"4","ZBTB18"
0.000579982399055415,0.903550908293496,0.047,0.024,1,"4","ALPK2"
0.000580451852083535,0.900458035523651,0.141,0.1,1,"4","RNF208"
